PC1,PC2,PC3,PC4,PC5,PC6,Event_Type,Year
-0.5931706196875536,0.13736943577879585,0.037737577322016984,-0.2648948037036436,-0.13379833537700636,-0.050288737495273184,Floods,1996
0.9815693949183354,-0.28288733851103776,-0.15375715384413355,-1.0555571114321372,-0.7204297335853562,0.6463778897394603,Hurricane,1996
-0.5272900166663348,-0.053148534913370814,-0.07584986228146572,0.19285350720932057,0.035020170249787465,-0.008452150717934228,Tornado,1996
-0.4132275287193892,-0.009564236167772482,-0.10540600266295991,0.10585155948124325,0.07891279780639963,0.19297547362817935,Wildfire,1996
-0.5841315382759424,0.11469454513398297,0.1199944994454469,-0.16422235732661253,0.022533841201198113,0.0334177394648409,Floods,1996
0.2874077401521267,0.020543637053132252,0.466764778218802,-0.4881992430729004,0.46320374136075537,1.025775412094679,Hurricane,1997
-0.38135047824796175,-0.269901080176853,-0.06651372395578341,0.4232746459182684,0.046972720667811274,-0.08274050246334098,Tornado,1997
-0.4758546401285075,0.04925882613884907,-0.051470914023668914,-0.18345825766906645,-0.17262166687611613,-0.02791461902864124,Wildfire,1997
-0.3669286790898048,-0.2660062192906638,-0.27077655176232696,0.5541919071631638,0.05667478898878344,0.01144111223651674,Floods,1997
2.173422718814034,-0.37417206626694555,-2.0321078872294187,-2.221707050918058,-2.8707602708992535,0.6143590261554748,Hurricane,1997
-0.22056165152458349,-0.47801488428844047,-0.09905306993286275,0.6663973714621975,0.06790483126945304,-0.11241286087512563,Tornado,1998
-0.027885354209936642,-0.1762724870578771,-0.41313845336600974,0.09675947748094493,-0.17259482148090563,0.2980488492641519,Wildfire,1998
-0.6175760522078387,0.13810778683033187,0.01939019185670862,-0.20255881211850418,-0.09194977153577391,-0.03356174182680137,Floods,1998
1.6685425572847377,-0.32775311561138515,-1.1677529266415811,-1.7642563648833631,-1.9334425017785448,0.6341958131081322,Hurricane,1998
-0.2542146792994471,-0.41633493467785515,-0.16104156634266545,0.6571154212230201,0.09051310205725338,-0.04282955156275986,Tornado,1998
-0.5675002511901059,0.03110966649618805,-0.0628029844995038,0.09314946859151316,0.045478341415853184,0.04312769173296085,Wildfire,1999
-0.6247501416311341,0.17286457986944842,-0.008142434877601723,-0.26385176566617957,-0.1315487882118867,-0.02741087133130955,Floods,1999
-0.74358099766238,0.22123502845721216,0.04964104847709739,-0.19711363759181166,-0.012415227896774066,-0.017097353412045213,Hurricane,1999
-0.4620170416418565,-0.16595225493746518,-0.10060086102797149,0.3419830792268564,0.043502485057133056,-0.04581977931078703,Tornado,1999
-0.2523798104335459,0.06051817043413681,0.145309827686194,-0.16516050548126024,0.2175195080396108,0.44984912979001335,Wildfire,1999
-0.6925178769428111,0.16945745646381197,0.0613856067271597,-0.16590778287281424,-0.017302152086231745,-0.02843455591869993,Floods,2000
-0.5420541477991713,-0.054014363074942916,0.38276317113951375,-0.22756724812556942,-0.11163087854999149,-0.29502714411507036,Hurricane,2000
-0.5266218487292766,-0.07135350250010135,-0.04566942006930846,0.1930412896781071,0.02739025352514775,-0.042777149096111515,Tornado,2000
-0.6433102607968156,0.09197212884726175,0.05090200488136515,-0.06115470641731765,0.00033678753863835686,-0.04251345238691134,Wildfire,2000
-0.7083763143339692,0.18890316210907204,0.06311639630464949,-0.19661208816734876,-0.030745663278631184,-0.03527847899568197,Floods,2000
2.008553554228413,-1.953392366953583,-2.592025260451748,2.1390282515262173,-1.0554325656315735,0.47406254753887955,Hurricane,2001
-0.3729288409647224,-0.28018924058984157,-0.09811351439788023,0.464658802223079,0.059363650490847006,-0.06458554759822022,Tornado,2001
-0.6166940301238669,0.07909130365486847,-0.050062191739149255,0.03509367573964965,0.032513205758586544,0.029836064467487877,Wildfire,2001
-0.6810351146072018,0.17668285918745502,0.07836160781517139,-0.21277430637975805,-0.037576254540627366,-0.031764030496455195,Floods,2001
-0.11057790126778598,-0.038265734188253575,0.3260252395390758,-0.4347416056799687,-0.02477152641378267,0.23124818242406103,Hurricane,2001
-0.4565854169453662,-0.14952564826286524,-0.07912378325948603,0.30013918884819235,0.044890987870996546,-0.02966121844705131,Tornado,2002
0.5173157278910344,-0.38732434108402436,0.1062703050118802,-0.06423223822231769,0.12493866391726584,0.6785756089843318,Wildfire,2002
-0.68347268597859,0.17882197175019532,0.057555801908302,-0.2098850903597473,-0.04933647721650627,-0.03444344037928102,Floods,2002
4.179809720035519,-2.4164552874506247,-0.7626003762023357,1.7752695312472677,0.9604457424949228,3.1265415556278198,Hurricane,2002
-0.6481667475256321,0.09535134809209173,0.035697088436112745,-0.055939002467951436,-0.0037008961421504225,-0.041938292726988714,Tornado,2002
-0.628460969427516,0.06871572155192754,-0.08824571009795946,0.07351155406857394,0.01900290920414263,0.009560903839234662,Wildfire,2003
-0.7107407131162491,0.19694161430865292,0.0653337036921387,-0.20419177742940686,-0.025377194190803254,-0.025730641177342722,Floods,2003
6.603833437899396,-4.8197833196503925,6.077433732158947,-2.4204956527232393,-0.8915852694458428,-0.7587004676275682,Hurricane,2003
-0.5544304895945403,-0.012396332111221089,-0.020963609683710922,0.0689792370940962,-0.018212776052737224,-0.05413736897839724,Tornado,2003
-0.5833471348745474,0.006073443559075763,0.008139259048547247,0.06405827524695516,0.009714891890368255,-0.05061084194921925,Wildfire,2003
-0.6779007664410418,0.17079002995742548,0.11187409049486878,-0.21051616889134744,-0.01824015293277082,-0.03665300728074253,Floods,2004
-0.42232543647647824,-0.22040343359239195,-0.05036966372958959,0.35776073924346036,0.03731739365386757,-0.08492278471989853,Tornado,2004
